cidade,uf,regiao,codmun,pop_dou_2017,Jornal,Online,Rádio,Revista,Televisão,tipos_existentes,total_fontes,fontes_100k_hab
ABADIA DE GOIÁS,GO,Centro-Oeste,5200050,8207,0,0,1,0,0,Rádio,1,12.184720360667722
ABADIA DOS DOURADOS,MG,Sudeste,3100104,7059,0,0,0,0,1,Televisão,1,14.166312508853945
ABADIÂNIA,GO,Centro-Oeste,5200100,18775,0,0,0,0,0,Nenhum,0,0
ABAETÉ,MG,Sudeste,3100203,23611,1,0,1,0,1,Vários,3,12.705942145610098
ABAETETUBA,PA,Norte,1500107,153380,0,0,2,0,1,Vários,3,1.9559264571652106
ABAIARA,CE,Nordeste,2300101,11605,0,0,0,0,0,Nenhum,0,0
ABAÍRA,BA,Nordeste,2900108,9199,0,0,1,0,0,Rádio,1,10.870746820306556
ABARÉ,BA,Nordeste,2900207,20189,0,0,1,0,0,Rádio,1,4.953192332458269
ABATIÁ,PR,Sul,4100103,7768,0,0,0,0,0,Nenhum,0,0
ABDON BATISTA,SC,Sul,4200051,2604,0,0,0,0,1,Televisão,1,38.40245775729647
ABEL FIGUEIREDO,PA,Norte,1500131,7231,0,0,0,0,1,Televisão,1,13.829345871940257
ABELARDO LUZ,SC,Sul,4200101,17847,2,0,1,0,1,Vários,4,22.412730430884743
ABRE CAMPO,MG,Sudeste,3100302,13733,1,0,1,0,1,Vários,3,21.845190417243135
ABREU E LIMA,PE,Nordeste,2600054,99364,0,0,0,0,0,Nenhum,0,0
ABREULÂNDIA,TO,Norte,1700251,2571,0,0,0,0,0,Nenhum,0,0
ACAIACA,MG,Sudeste,3100401,4065,0,0,0,0,1,Televisão,1,24.600246002460022
AÇAILÂNDIA,MA,Nordeste,2100055,111339,1,0,4,0,3,Vários,8,7.185263025534629
ACAJUTIBA,BA,Nordeste,2900306,15727,0,0,0,0,1,Televisão,1,6.358491765753163
ACARÁ,PA,Norte,1500206,54096,0,0,0,0,0,Nenhum,0,0
ACARAPE,CE,Nordeste,2300150,16543,0,0,0,0,0,Nenhum,0,0
ACARAÚ,CE,Nordeste,2300200,62199,0,0,1,0,0,Rádio,1,1.60774288975707
ACARI,RN,Nordeste,2400109,11333,0,0,0,0,0,Nenhum,0,0
ACAUÃ,PI,Nordeste,2200053,6966,0,0,0,0,0,Nenhum,0,0
ACEGUÁ,RS,Sul,4300034,4759,0,0,0,0,0,Nenhum,0,0
ACOPIARA,CE,Nordeste,2300309,53572,1,0,2,0,1,Vários,4,7.466587023071754
ACORIZAL,MT,Centro-Oeste,5100102,5269,0,0,0,0,0,Nenhum,0,0
ACRELÂNDIA,AC,Norte,1200013,14366,0,0,0,0,0,Nenhum,0,0
ACREÚNA,GO,Centro-Oeste,5200134,22076,0,0,1,0,0,Rádio,1,4.52980612429788
AÇU,RN,Nordeste,2400208,58183,1,0,2,0,0,Vários,3,5.156145265799289
AÇUCENA,MG,Sudeste,3100500,9997,0,0,0,0,0,Nenhum,0,0
ADAMANTINA,SP,Sudeste,3500105,35139,4,0,5,0,1,Vários,10,28.45840803665443
ADELÂNDIA,GO,Centro-Oeste,5200159,2564,0,0,0,0,0,Nenhum,0,0
ADOLFO,SP,Sudeste,3500204,3609,0,0,0,0,0,Nenhum,0,0
ADRIANÓPOLIS,PR,Sul,4100202,6254,0,0,0,0,1,Televisão,1,15.98976654940838
ADUSTINA,BA,Nordeste,2900355,17349,0,0,0,0,0,Nenhum,0,0
AFOGADOS DA INGAZEIRA,PE,Nordeste,2600104,37017,0,0,1,0,0,Rádio,1,2.7014614906664507
AFONSO BEZERRA,RN,Nordeste,2400307,11211,0,0,0,0,0,Nenhum,0,0
AFONSO CLÁUDIO,ES,Sudeste,3200102,32361,1,0,1,0,1,Vários,3,9.270418095856122
AFONSO CUNHA,MA,Nordeste,2100105,6486,0,0,0,0,0,Nenhum,0,0
AFRÂNIO,PE,Nordeste,2600203,19411,0,0,1,0,0,Rádio,1,5.151718097985678
AFUÁ,PA,Norte,1500305,38144,0,0,0,0,0,Nenhum,0,0
AGRESTINA,PE,Nordeste,2600302,24644,0,0,0,0,0,Nenhum,0,0
AGRICOLÂNDIA,PI,Nordeste,2200103,5062,0,0,0,0,0,Nenhum,0,0
